t,x1,x2,x3,u1,sequence
0,3.14159265358979,0,0,0,0
0.005,3.14159265358979,1.27194113403445e-16,8.20495628731349e-18,0.05,1
0.01,-3.13737865518477,1.68487699604596,1.96074651215864,0.05,0
0.015,-3.12475799779802,3.36132989395372,3.92084269580361,0.00247650707297271,0
0.02,-3.10779697780457,3.42035023704211,4.01602704240131,0.00492169321830191,1
0.025,-3.0903759043048,3.54531217035982,4.20573696667224,0.00499766914689482,0
0.03,-3.07236542747872,3.65605563860178,4.39698442510482,0.00516127961083814,1
0.035,-3.05383003015681,3.75524228973834,4.59312685949243,0.00529491786849953,0
0.04,-3.03483052444174,3.8416778269557,4.79291895905245,0.00540145786315375,0
0.045,-3.01543319106704,3.91436973667706,4.99523932168408,0.00547847656288497,1
0.05,-2.99570920374521,3.97235353276711,5.1988858853118,0.00552420768359073,0
0.055,-2.97573442782295,4.01471686227075,5.40260468884403,0.00553735746757478,1
0.06,-2.95558911952897,4.04061514509969,5.60511119520041,0.0055171905641533,0
0.065,-2.93535754602898,4.04928762437856,5.80511457003742,0.00546358314998531,0
0.07,-2.91512752712363,4.04007269717287,6.00134344540691,0.00537705168146291,1
0.075,-2.89498990398468,4.01242183111058,6.19257204678776,0.00525875287108356,0
0.08,-2.87503794375254,3.96591138569763,6.37764542772708,0.00511045309923202,1
0.085,-2.85536669198585,3.90025174574618,6.55550254031127,0.00493446775181865,0
0.09,-2.83607228755633,3.81529330981378,6.72519595382598,0.0047335733681552,1
0.095,-2.81725125641594,3.71102904809845,6.88590721617341,0.00451089767628913,1
0.1,-2.79899980159109,3.58759353551196,7.03695711747795,0.00426979431567227,0
0.105,-2.78141310673272,3.44525855804068,7.17781043706364,0.00401371008882481,1
0.11,-2.76458466961185,3.2844255655998,7.30807510096337,0.00374605283000075,0
0.115,-2.74860568022621,3.10561538670374,7.42749601242668,0.00347006742930019,0
0.12,-2.73356445586605,2.90945571841085,7.53594411036377,0.00318872631497686,1
